code,name,total_mcap,sector,mcap_b,size_group,first_kline_date,first_year
000959,首钢股份,30399000000.0,板材,303.99,LARGE,2001-11-21,2001
605358,立昂微,30432000000.0,半导体材料,304.32,LARGE,2020-09-10,2020
000973,佛塑科技,30433000000.0,膜材料,304.33,LARGE,2001-03-23,2001
600563,法拉电子,30533000000.0,被动元件,305.33,LARGE,2003-02-13,2003
000027,深圳能源,30589999999.999996,火力发电,305.9,LARGE,2000-07-28,2000
603338,浙江鼎力,30624000000.0,工程机械整机,306.24,LARGE,2015-04-13,2015
000429,粤高速Ａ,30735000000.000004,高速公路,307.35,LARGE,2001-03-05,2001
002472,双环传动,30770000000.0,底盘与发动机系统,307.7,LARGE,2010-10-13,2010
600483,福能股份,30804000000.000004,电能综合服务,308.04,LARGE,2004-12-23,2004
600428,中远海特,30842000000.0,航运,308.42,LARGE,2002-12-24,2002
600562,国睿科技,30848000000.0,军工电子Ⅲ,308.48,LARGE,2003-07-23,2003
600869,远东股份,30893000000.0,线缆部件及其他,308.93,LARGE,2000-10-25,2000
689009,九号公司,30942000000.0,其他运输设备,309.42,LARGE,2023-08-25,2023
000582,北部湾港,31010000000.000004,港口,310.1,LARGE,2001-10-23,2001
000876,新 希 望,31069000000.0,生猪养殖,310.69,LARGE,2001-01-10,2001
002432,九安医疗,31126000000.0,体外诊断,311.26,LARGE,2010-08-16,2010
600348,华阳股份,31169000000.0,动力煤,311.69,LARGE,2003-11-06,2003
600282,南钢股份,31195000000.0,板材,311.95,LARGE,2001-04-16,2001
002841,视源股份,31198000000.0,品牌消费电子,311.98,LARGE,2017-01-18,2017
300438,鹏辉能源,31258000000.0,锂电池,312.58,LARGE,2015-07-03,2015
300017,网宿科技,31295999999.999996,IT服务Ⅲ,312.96,LARGE,2010-01-14,2010
600012,皖通高速,31336000000.0,高速公路,313.36,LARGE,2003-04-16,2003
600839,四川长虹,31344000000.0,彩电,313.44,LARGE,2000-06-27,2000
000800,一汽解放,31349000000.0,商用载货车,313.49,LARGE,2000-05-12,2000
600699,均胜电子,31495999999.999996,汽车电子电气系统,314.96,LARGE,2001-12-14,2001
300896,爱美客,31579000000.000004,医美耗材,315.79,LARGE,2020-09-25,2020
603568,伟明环保,31649000000.0,固废治理,316.49,LARGE,2015-05-27,2015
601611,中国核建,31706000000.0,基建市政工程,317.06,LARGE,2016-06-06,2016
000728,国元证券,31812000000.0,证券Ⅲ,318.12,LARGE,2001-05-11,2001
600499,科达制造,31932000000.0,其他专用设备,319.32,LARGE,2003-12-12,2003
301396,宏景科技,32024000000.0,IT服务Ⅲ,320.24,LARGE,2022-11-10,2022
600109,国金证券,32088000000.0,证券Ⅲ,320.88,LARGE,2000-09-26,2000
601866,中远海发,32101000000.0,航运,321.01,LARGE,2008-06-10,2008
601696,中银证券,32502999999.999996,证券Ⅲ,325.03,LARGE,2020-02-25,2020
300677,英科医疗,32869000000.0,医疗耗材,328.69,LARGE,2017-07-20,2017
600515,海南机场,32905000000.0,机场,329.05,LARGE,2004-09-16,2004
603225,新凤鸣,32912000000.0,涤纶,329.12,LARGE,2017-04-17,2017
603127,昭衍新药,32926000000.0,医疗研发外包,329.26,LARGE,2017-08-24,2017
601236,红塔证券,32947000000.000004,证券Ⅲ,329.47,LARGE,2019-07-12,2019
002261,拓维信息,33087000000.0,垂直应用软件,330.87,LARGE,2009-04-15,2009
000661,长春高新,33104000000.000004,其他生物制品,331.04,LARGE,2000-06-16,2000
600956,新天绿能,33122000000.000004,风力发电,331.22,LARGE,2020-06-24,2020
600711,盛屯矿业,33193000000.0,铜,331.93,LARGE,2001-09-06,2001
600331,宏达股份,33205000000.0,磷肥及磷化工,332.05,LARGE,2003-04-23,2003
600588,600588,33247000000.000004,横向通用软件,332.47,LARGE,2001-08-13,2001
002939,长城证券,33324000000.0,证券Ⅲ,333.24,LARGE,2018-10-25,2018
000883,湖北能源,33414999999.999996,电能综合服务,334.15,LARGE,2001-03-15,2001
603699,纽威股份,33508000000.0,金属制品,335.08,LARGE,2014-01-30,2014
300251,光线传媒,33589999999.999996,影视动漫制作,335.9,LARGE,2012-01-31,2012
002126,银轮股份,33627000000.0,底盘与发动机系统,336.27,LARGE,2007-09-05,2007
300748,金力永磁,33702000000.0,磁性材料,337.02,LARGE,2018-09-20,2018
601126,四方股份,33741000000.000004,电网自动化设备,337.41,LARGE,2011-01-17,2011
600206,有研新材,33744000000.0,半导体材料,337.44,LARGE,2000-08-07,2000
002429,兆驰股份,33770999999.999996,彩电,337.71,LARGE,2010-11-10,2010
603606,东方电缆,33792000000.0,线缆部件及其他,337.92,LARGE,2014-10-27,2014
002831,裕同科技,33832000000.0,纸包装,338.32,LARGE,2016-12-15,2016
603175,超颖电子,33900000000.0,印制电路板,339.0,LARGE,2025-10-23,2025
002252,上海莱士,33952000000.0,血液制品,339.52,LARGE,2010-07-02,2010
002056,横店东磁,33966000000.000004,光伏电池组件,339.66,LARGE,2006-09-05,2006
002948,青岛银行,34107000000.0,城商行Ⅲ,341.07,LARGE,2019-01-23,2019
002340,格林美,34135000000.000004,电池化学品,341.35,LARGE,2010-06-03,2010
002032,苏 泊 尔,34186000000.0,厨房小家电,341.86,LARGE,2005-01-17,2005
000688,国城矿业,34283999999.999996,铅锌,342.84,LARGE,2007-04-27,2007
603929,亚翔集成,34402000000.0,其他专业工程,344.02,LARGE,2016-12-29,2016
000423,东阿阿胶,34423000000.0,中药Ⅲ,344.23,LARGE,2000-09-05,2000
603369,今世缘,34437000000.0,白酒Ⅲ,344.37,LARGE,2014-07-07,2014
000786,北新建材,34658000000.0,其他建材Ⅲ,346.58,LARGE,2000-11-14,2000
600298,安琪酵母,34757000000.0,调味发酵品Ⅲ,347.57,LARGE,2000-12-07,2000
002138,顺络电子,34793000000.0,被动元件,347.93,LARGE,2007-07-20,2007
002129,TCL中环,34852000000.0,硅料硅片,348.52,LARGE,2009-07-16,2009
600256,广汇能源,34900000000.0,动力煤,349.0,LARGE,2000-11-10,2000
600157,永泰能源,34908000000.0,火力发电,349.08,LARGE,2002-05-16,2002
600141,兴发集团,35019000000.0,磷肥及磷化工,350.19,LARGE,2000-07-27,2000
603486,科沃斯,35104000000.0,清洁小家电,351.04,LARGE,2018-05-25,2018
601880,辽港股份,35122000000.0,港口,351.22,LARGE,2011-01-05,2011
600295,鄂尔多斯,35125000000.0,冶钢辅料,351.25,LARGE,2002-03-21,2002
002738,中矿资源,35137000000.0,锂,351.37,LARGE,2015-07-09,2015
300207,欣旺达,35305000000.0,锂电池,353.05,LARGE,2011-07-07,2011
300346,南大光电,35463000000.0,电子化学品Ⅲ,354.63,LARGE,2012-11-09,2012
600085,同仁堂,35494000000.0,中药Ⅲ,354.94,LARGE,2000-03-10,2000
603629,利通电子,35554000000.0,消费电子零部件及组装,355.54,LARGE,2018-12-21,2018
002155,湖南黄金,35644000000.0,黄金,356.44,LARGE,2007-12-26,2007
002517,恺英网络,35657000000.0,游戏Ⅲ,356.57,LARGE,2012-01-31,2012
000559,万向钱潮,35706000000.0,底盘与发动机系统,357.06,LARGE,2000-04-26,2000
002444,巨星科技,35727000000.0,其他通用设备,357.27,LARGE,2010-07-26,2010
600332,白云山,35735000000.0,中药Ⅲ,357.35,LARGE,2002-01-23,2002
301583,托伦斯,35949000000.0,半导体设备,359.49,LARGE,2026-07-09,2026
000729,燕京啤酒,35993000000.0,啤酒,359.93,LARGE,2000-04-10,2000
600392,盛和资源,36021000000.0,稀土,360.21,LARGE,2004-11-03,2004
300001,特锐德,36061000000.0,输变电设备,360.61,LARGE,2010-03-17,2010
603379,三美股份,36116000000.0,氟化工,361.16,LARGE,2019-04-01,2019
600060,海信视像,36135000000.0,彩电,361.35,LARGE,2000-04-14,2000
601212,白银有色,36283000000.0,铜,362.83,LARGE,2017-04-18,2017
601777,千里科技,36350000000.0,摩托车,363.5,LARGE,2011-01-31,2011
600667,太极实业,36393000000.0,工程咨询服务Ⅲ,363.93,LARGE,2000-11-17,2000
603650,彤程新材,36397000000.0,橡胶助剂,363.97,LARGE,2018-06-26,2018
600177,雅戈尔,36433000000.0,非运动服装,364.33,LARGE,2000-07-11,2000
300115,长盈精密,36539000000.0,消费电子零部件及组装,365.39,LARGE,2010-11-01,2010
600733,北汽蓝谷,36547000000.0,电动乘用车,365.47,LARGE,2002-06-27,2002
301236,软通动力,36635000000.0,IT服务Ⅲ,366.35,LARGE,2022-03-14,2022
