symbol,target_date,size_class,size_class_source,historical_mcap_b,mcap_quality,share_effective_date,share_date_quality,current_size_group
600210,2007-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,2.8957368194595787,PIT_SAFE,2003-12-26,KNOWN_EFFECTIVE_DATE,LARGE
600210,2008-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.9340905416873815,PIT_SAFE,2003-12-26,KNOWN_EFFECTIVE_DATE,LARGE
600211,2018-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,2.171333968489129,PIT_SAFE,2017-05-03,KNOWN_EFFECTIVE_DATE,LARGE
600211,2022-12-15,MID,PIT_SAFE_HISTORICAL_MCAP,6.308978443458559,PIT_SAFE,2020-05-06,KNOWN_EFFECTIVE_DATE,LARGE
600211,2024-06-15,MID,PIT_SAFE_HISTORICAL_MCAP,8.02326859948,PIT_SAFE,2020-05-06,KNOWN_EFFECTIVE_DATE,LARGE
600216,2015-06-15,MID,PIT_SAFE_HISTORICAL_MCAP,6.924182016331492,PIT_SAFE,2013-08-26,KNOWN_EFFECTIVE_DATE,LARGE
600216,2018-10-15,MID,PIT_SAFE_HISTORICAL_MCAP,6.474424063874082,PIT_SAFE,2017-11-21,KNOWN_EFFECTIVE_DATE,LARGE
600216,2022-12-15,MID,PIT_SAFE_HISTORICAL_MCAP,11.217952647367861,PIT_SAFE,2022-03-18,KNOWN_EFFECTIVE_DATE,LARGE
600219,2007-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,4.417081639140137,PIT_SAFE,2007-04-30,KNOWN_EFFECTIVE_DATE,LARGE
600219,2008-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,4.389927156284558,PIT_SAFE,2007-04-30,KNOWN_EFFECTIVE_DATE,LARGE
600219,2012-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,2.6625541210680597,PIT_SAFE,2011-10-31,KNOWN_EFFECTIVE_DATE,LARGE
600226,2005-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.29093230820452426,PIT_SAFE,2002-09-10,KNOWN_EFFECTIVE_DATE,LARGE
600226,2007-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.14540205499427297,PIT_SAFE,2002-09-10,KNOWN_EFFECTIVE_DATE,LARGE
600226,2008-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.19374117144043335,PIT_SAFE,2002-09-10,KNOWN_EFFECTIVE_DATE,LARGE
600232,2005-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.6905465873381259,PIT_SAFE,2000-06-02,KNOWN_EFFECTIVE_DATE,MID
600232,2007-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.5617662471636592,PIT_SAFE,2000-06-02,KNOWN_EFFECTIVE_DATE,MID
600232,2008-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.9100816300089233,PIT_SAFE,2000-06-02,KNOWN_EFFECTIVE_DATE,MID
600256,2005-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.07974571087182124,PIT_SAFE,2000-05-26,KNOWN_EFFECTIVE_DATE,LARGE
600256,2007-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.17284744251427472,PIT_SAFE,2000-05-26,KNOWN_EFFECTIVE_DATE,LARGE
600256,2008-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.24461858446279003,PIT_SAFE,2000-05-26,KNOWN_EFFECTIVE_DATE,LARGE
600257,2005-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.04690786059703004,PIT_SAFE,2000-06-12,KNOWN_EFFECTIVE_DATE,MID
600257,2007-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.05591910760482373,PIT_SAFE,2000-06-12,KNOWN_EFFECTIVE_DATE,MID
600257,2008-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.18643817141726818,PIT_SAFE,2000-06-12,KNOWN_EFFECTIVE_DATE,MID
600258,2005-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.7209611973427758,PIT_SAFE,2000-06-01,KNOWN_EFFECTIVE_DATE,LARGE
600258,2007-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.8441147523324055,PIT_SAFE,2000-06-01,KNOWN_EFFECTIVE_DATE,LARGE
600258,2008-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,3.788681306264886,PIT_SAFE,2000-06-01,KNOWN_EFFECTIVE_DATE,LARGE
600259,2005-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,1.4219411875372,PIT_SAFE,2000-05-25,KNOWN_EFFECTIVE_DATE,LARGE
600259,2007-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.6051655070961681,PIT_SAFE,2000-05-25,KNOWN_EFFECTIVE_DATE,LARGE
600259,2008-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.39751069342269274,PIT_SAFE,2000-05-25,KNOWN_EFFECTIVE_DATE,LARGE
600266,2007-10-15,MID,PIT_SAFE_HISTORICAL_MCAP,7.796525048447411,PIT_SAFE,2007-02-05,KNOWN_EFFECTIVE_DATE,MID
